"","a","b","c","d","tau","r_lower","r_upper","intervention","Days"
"1",2,1530,40,203290,6.64346405228758,0,100,"Intervention","7"
"2",2,4198,40,203290,2.42127203430205,0,200,"Intervention","7"
"3",2,16028,40,203290,0.634171449962566,0,500,"Intervention","7"
"4",2,25510,40,203290,0.398451587612701,0,750,"Intervention","7"
"5",2,33222,40,203290,0.305956896032749,0,1000,"Intervention","7"
"6",2,2756,58,382714,4.78847405034783,0,100,"Intervention","14"
"7",2,7810,58,382714,1.68976113735706,0,200,"Intervention","14"
"8",4,30122,58,382714,0.876238927213241,0,500,"Intervention","14"
"9",4,48308,58,382714,0.546370559027847,0,750,"Intervention","14"
"10",4,62794,58,382714,0.420327881095602,0,1000,"Intervention","14"
"11",2,5322,146,770342,1.98283166797939,0,100,"Intervention","30"
"12",4,15704,146,770342,1.34394168835791,0,200,"Intervention","30"
"13",10,60410,146,770342,0.873417491887626,0,500,"Intervention","30"
"14",18,96146,146,770342,0.987806785855644,0,750,"Intervention","30"
"15",18,125346,146,770342,0.757692078190582,0,1000,"Intervention","30"
"16",68,1904,1744,272574,5.58187254259502,0,100,"Untreated","7"
"17",106,5070,1744,272574,3.26765240757831,0,200,"Untreated","7"
"18",208,18230,1744,272574,1.78325977444177,0,500,"Untreated","7"
"19",262,29334,1744,272574,1.39594385261052,0,750,"Untreated","7"
"20",330,40046,1744,272574,1.28793143618783,0,1000,"Untreated","7"
"21",112,3462,3154,518808,5.32152288804951,0,100,"Untreated","14"
"22",188,9484,3154,518808,3.26070327169853,0,200,"Untreated","14"
"23",364,34304,3154,518808,1.74542662007023,0,500,"Untreated","14"
"24",464,55398,3154,518808,1.37774508340784,0,750,"Untreated","14"
"25",586,75516,3154,518808,1.27644942932132,0,1000,"Untreated","14"
"26",186,6844,5972,1045336,4.75706462615526,0,100,"Untreated","30"
"27",316,18854,5972,1045336,2.93372693374569,0,200,"Untreated","30"
"28",672,68424,5972,1045336,1.71908330304663,0,500,"Untreated","30"
"29",842,110368,5972,1045336,1.33538049022431,0,750,"Untreated","30"
"30",1084,150828,5972,1045336,1.25800804386755,0,1000,"Untreated","30"
